name,location,price_lakhs,area_sqft,bhk,is_starred
vasantha flats,madipakkam,72,1404,3,0
rajkham silver crest,medavakkam,62,1175,2,0
selaiyur,"kvk nagar, selaiyur",59.45,915,2,0
shri sai garden,perumbakkam,98,1200,3,0
livehomes,ponmar,89,1690,3,0
arham harmony,iyyappanthangal,90,750,2,0
new flat,valasaravakkam,85,1001,2,0
gr enclave,valasaravakkam,85.4,1010,2,0
vijaya shree garden,thoraipakkam,46.5,775,2,0
"padappai, chennai, chennai south",padappai,45,665,2,0
priyadarshini shelters,nanganallur,87,1130,2,0
casagrand ferns,tambaram,44,1085,2,0
"gerugambakkam, chennai, chennai south",gerugambakkam,92,810,3,0
methra apartment avadi,"kovilpathagai, avadi",42,1200,2,0
royal pearl apartment,chitlapakkam,58,1046,2,0
"guduvancheri, chennai, chennai south",guduvancheri,69,1200,3,0
"guduvancheri, chennai, chennai south",guduvancheri,65,1100,2,0
"guduvancheri, chennai, chennai south",guduvancheri,44.9,1100,2,0
casagrand pavilion,"thalambur, omr",91,1000,3,1
"ayappakkam, chennai, chennai west",ayappakkam,63.32,1075,2,0
livehomes,"kodambakkam, gst road",197,1642,3,0
vijayasree sanjeevi apartments,thoraipakkam,45,731,2,0
jayam sri sai dual avenue,navalur,92,1000,3,0
sri sai resident,perumbakkam,98,900,3,0
jayam sri sai garden hill view,perumbakkam,85.2,1000,2,0
kg signature city,mogappair west,67,1111,3,1
vgn fairmont,"dy,  south",171,1712,3,0
shriram park 63,perungalathur,96.41,1535,3,1
lml iconia,porur,62.5,956,2,0
brigade xanadu,mogappair,160,1880,3,1
risland the ace,perungudi,53.58,600,1,0
arun excello hari priya,guduvancheri,19,390,1,0
brigade xanadu,mogappair,100,1270,2,1
lml iconia,porur,60,909,2,0
risland the ace,perungudi,106,1187,2,0
brigade xanadu,mogappair,129,1364,3,1
"ncbs colony, nanganallur, chennai, chennai south","ncbs colony, nanganallur",93,743,2,0
alliance humming gardens,kelambakkam,130,1866,4,1
chrompet,chromepet,69,910,2,0
"gerugambakkam, chennai, chennai south",gerugambakkam,128,1000,3,0
lancor lumina apartment,guduvancheri,57,925,3,0
"propguider, aspires","thalambur, omr",36.85,970,2,0
incor pbel city,kelambakkam,42.72,1068,2,0
adroit prosper,navalur,59,1011,2,0
"prop guider , aria.",tambaram,45,1001,2,0
new flat,kolathur,50,791,2,0
sangam apartments,"kellys, kilpauk",120,880,2,0
alankar vridhi,east tambaram,119,1163,3,0
new flat,kolathur,50,796,2,0
navganesh eden,kolathur,71.98,1180,3,0
vinayagaburam,kolathur,41.6,682,2,0
new flat,kolathur,50.8,796,2,0
new flat,kolathur,50.07,790,2,0
new flat,kolathur,43.1,709,2,0
new flat,kolathur,41.85,685,2,0
vinayagaburam,kolathur,50,794,2,0
new flat,kolathur,43.12,703,2,0
new flat,kolathur,43,702,2,0
"guduvancheri, chennai, chennai south",guduvancheri,38,960,2,0
"guduvancheri, chennai, chennai south",guduvancheri,36,800,2,0
jayam sri sai dual avenue,navalur,89.5,1000,3,0
casagrand pavilion,"thalambur, omr",89.21,1000,3,1
palmyra springs,padappai,36.5,800,3,0
"kences brindavan ,evr lane ponamalee highroad",kilpauk,150,1114,2,0
srivari flats,"anakaputhur, pammal",43,816,2,0
scc homes,keelkattalai,88.62,1203,3,0
scc homes,maduravoyal,79.29,991,2,0
scc homes,madipakkam,67.52,910,2,0
tamil kargil nagar scheme,thiruvattiyur,45,676,1,0
scc homes,chromepet,80.47,1154,3,0
bliss villa,chromepet,130,1705,3,0
scc homes,madambakkam,100,1033,3,0
scc homes,chromepet,66.4,920,2,0
godrej azure,padur,42,621,2,0
brownstone spinel apartments,madipakkam,55,1004,2,0
scc homes,medavakkam,60.76,996,2,0
hno 530,padappai,49,1000,2,0
bharat temple view,kotturpuram,45,640,2,0
urban tree atrium,perungudi,80,1150,3,0
purva swanlake,omr,90,1500,3,1
clover new villa,pallikaranai,84.9,735,4,0
natural foundation apartment,iyyappanthangal,45,830,2,0
ra puram apartment,ra puram,240,1250,3,0
"madhavaram, chennai, chennai north",madhavaram,79.5,800,3,0
apartment,"uthandi, ecr",106,1600,3,0
thirumurugan apartment,"trustpuram, kodambakkam",85,900,2,0
trident apartments kilpauk garden road,kilpauk,150,995,2,0
swans lake puravankar,padur,87,1805,3,0
"kolapakkam, chennai, chennai south",kolapakkam,160,1925,4,0
2bhk,"kamarajar nagar, choolaimedu",41,700,2,0
"aishwaryam flats, anakaputhur","venkateswara nagar,anakaputhur",40,854,2,0
"sri venkateswara flats,madhanangkuppam road,",kolathur,62,908,2,0
scc homes,adambakkam,90.41,842,2,0
shakthi towers,"ekkaduthangal, gst road",43.5,650,1,0
jayam sri sai garden hill view,perumbakkam,135,1800,4,0
vgk sai hardik,east tambaram,55,1228,2,0
jayam sri sai garden hill view,perumbakkam,96,1400,3,0
scc homes,medavakkam,55,840,2,0
tulive horizon residences,"saligramam, arcot road",180,1410,3,0
sivas sundram,"dhandeeswaram, velachery",67,966,2,0
scc homes,thiruvanmiyur,125,1021,2,0
scc homes,anna nagar,120,945,2,0
arun flats,west mambalam,55,600,2,0
scc homes,madambakkam,60.02,967,2,0
malles akankssha,perumbakkam,66,978,2,0
new flat,"vanasakthi nagar, kolathur",69,999,3,0
"kolathur, chennai, chennai north",kolathur,135,930,3,0
"vijay shanthi apartment, west mamabalam","postal colony, west mambalam",35,530,1,0
"kolathur, chennai, chennai north",kolathur,85,600,3,0
"kolathur, chennai, chennai north",kolathur,150,1200,5,0
"kolathur, chennai, chennai north",kolathur,122,1175,3,0
cj flats,pallavaram,68,1008,2,0
urbanrise revolution one,padur,24.25,361,1,1
"ponmar, chennai, chennai south",ponmar,65,597,3,0
navganesh eden,kolathur,72.04,1181,3,0
"chepauk, triplicane, chennai, chennai central","chepauk, triplicane",99.84,832,2,0
"sai mukesh ,new flat",iyyappanthangal,58.5,959,2,0
rajparis harmony,medavakkam,120,1524,3,0
urbanrise revolution one,padur,45,636,2,0
ms seneerkuppam,poonamallee,46,850,2,0
kaveri flats,"z block anna nagar, anna nagar west",220,1250,3,0
anchinaiyar koil nr,mylapore,57,830,2,0
"home royals,new","kamakoti nagar, valasaravakkam",106,1206,3,0
homes royales,"majestic colony, valasaravakkam",79.9,971,2,0
vjs ashraya,medavakkam,78,1295,3,0
srinivasa flats,"rv nagar, kodungaiyur",50,850,2,0
vijay shanthi lotus pond,kelambakkam,12.5,410,1,1
lucky flats,"mangala nagar, porur",72,825,2,0
kurinji villa,gerugambakkam,113,900,3,0
dhanalakshmi flats,kolapakkam,72,1060,2,0
saideep apartment,thoraipakkam,75,1273,3,0
hiranandani parks,oragadam,85,2256,3,1
"besant nagar, chennai, chennai south",besant nagar,318,1478,3,0
"mugesh keerthi homes,new",iyyappanthangal,75.86,1184,3,0
kg signature city,mogappair west,75,1110,3,1
"royal flat,new","svs nagar, valasaravakkam",79,917,2,0
"yadavi flat,new flat",adambakkam,86,882,2,0
shantiniketan vega,kelambakkam,33.5,827,2,0
"muekesh flat,new",iyyappanthangal,56.49,955,2,0
"mukesh keerthi home, iyyapanthangal",porur,69.8,1188,3,0
"guduvancheri, chennai, chennai south",guduvancheri,45,640,2,0
"guduvancheri, chennai, chennai south",guduvancheri,68,900,2,0
"guduvancheri, chennai, chennai south",guduvancheri,58,1100,2,0
"guduvancheri, chennai, chennai south",guduvancheri,35,900,2,0
"guduvancheri, chennai, chennai south",guduvancheri,32,800,2,0
arsan homes,rajakilpakkam,60,985,2,0
spr osian chlorophyll,porur,150,1757,3,1
"navalur, chennai, chennai south",navalur,69,900,2,0
stone and acres atmos phase 2,madambakkam,99,1500,3,0
"thalambur, omr, chennai south","thalambur, omr",73.81,1200,2,0
"aishwarya apartments, vadapalani","kumaran colony, gst road",52,640,2,0
scc homes,mugalivakkam,68.65,913,2,0
s and p the address,"mambakkam, vandalur kelambakkam road",220,1500,3,0
casagrand first city,ganallur,73,985,2,1
scc homes,chromepet,66.03,985,2,0
mahalaxmi nagar,mangadu,52,600,2,0
scc homes,"saidapet, gst road",90.16,760,2,0
scc homes,west mambalam,150,1380,3,0
scc homes,west mambalam,218,1600,3,0
prestige bella vista,porur,130,1505,2,1
rahul shrikrupa,"vijayalakshmi puram, ambattur",37,700,2,0
"propguider,jubilee residences",guduvancheri,18.96,480,1,0
emerald enclave,"janakiraman colony, villivakkam",40,753,2,0
scc homes,alwarpet,211,1267,3,0
scc homes,mugalivakkam,68.5,1283,2,0
"padappai, chennai, chennai south",padappai,32,800,2,0
vasantham apartment,perambur,65,851,2,0
"guduvancheri, chennai, chennai south",guduvancheri,46,800,2,0
"guduvancheri, chennai, chennai south",guduvancheri,60,1150,2,0
"guduvancheri, chennai, chennai south",guduvancheri,55,1010,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",36,800,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",40,1100,2,0
scc homes,velachery,105,1133,3,0
arc residency,royapettah,75,720,2,0
"62nd street, 10th sector","kk nagar, gst road",175,880,5,0
apartment,"saligramam, arcot road",99,1038,2,0
viva city,arungal,20,426,1,0
"baba foundations, madipakkam, chennai","senthuran colony, madipakkam",51,1172,2,0
dac manapark,manapakkam,110,1405,2,0

