name,location,price_lakhs,area_sqft,bhk,is_starred
kv homes,"kallikuppam, ambattur",68,1120,2,0
indra gandhi nagar plot,kayarambedu,83.5,800,3,0
"kolapakkam, chennai, chennai south",kolapakkam,170,1100,3,0
udhayam saimugil,chitlapakkam,125,1648,3,0
on request,chromepet,96,910,2,0
udhayam saimugil,chitlapakkam,125,1647,3,0
on request,chromepet,96,908,2,0
s h flats,selaiyur,89.63,1195,2,0
s h flats,selaiyur,92.1,1228,2,0
s h flats,selaiyur,106,1417,3,0
"selaiyur, chennai, chennai south",selaiyur,119,1163,3,0
kg centre point,poonamallee,65,1120,3,1
kg centre point,poonamallee,50.31,915,2,1
kg centre point,poonamallee,50.23,915,2,1
"kattupakkam, chennai, chennai west",kattupakkam,160,1200,3,0
lake view apartments ayyappa nagar sembakkam,sembakkam,71.98,1220,2,0
"meridian vishakan, iyyappa nagar, sembakkam",sembakkam,55,1010,2,0
vgn southern avenue,"potheri, kattankulathur",62,1229,3,1
"tnhb, sholinganallur, chennai, chennai south",ganallur,138,1888,3,0
krishnaiah bollineni zion,omr,75,1130,3,0
hiranandani parks,oragadam,95,1859,3,1
scc homes,mappedu junction,95,830,3,0
scc homes,rajakilpakkam,83,1048,2,0
scc homes,"semmancheri, omr",76.84,1188,2,0
alankar horizon,tambaram,107,1600,3,0
alankar horizon,"camp road, selaiyur",110,1730,3,0
"kovur, chennai, chennai south",kovur,135,800,3,0
new flat,poonamallee,58.49,901,2,0
"kovur, chennai, chennai south",kovur,115,1200,2,0
vgk summer garden,"vengaivasal, medavakkam",69,1052,2,0
p t,thiruvanmiyur,120,875,2,0
elite akash garden,"kandigai, vandalur kelambakkam road",44.85,850,2,0
udhayam sai versha,chromepet,96,910,2,0
saiversha,"radha nagar, chromepet",96,910,2,0
udhayam saimugil,chitlapakkam,125,1649,3,0
"kolapakkam, chennai, chennai south",kolapakkam,155,900,3,0
vishnu leo villas,vengambakkam,135,2011,4,0
new flat,kattupakkam,69,986,2,0
new flat,kattupakkam,64,895,2,0
navganesh eminent,ayakapuram,50.08,795,2,0
"kovur, chennai, chennai south",kovur,105,1200,2,0
navins hanging gardens,valasaravakkam,135,1005,2,1
navins hanging gardens,valasaravakkam,187,1464,3,1
shriram park 63,perungalathur,129,1225,2,1
"kovur, chennai, chennai south",kovur,100,860,4,0
navins hanging gardens,valasaravakkam,134,1012,2,1
navins hillview avenue,thirumudivakkam,100,1472,3,1
purva somerset house,"dy,  south",325,1968,3,1
on request,"dy,  south",410,1894,3,0
navins hanging gardens,valasaravakkam,135,1012,2,1
purva somerset house,"dy,  south",350,1968,3,1
"gm adore, new flat",madipakkam,130,1471,3,0
"ayyapakkam, chennai, chennai west",ayyapakkam,111,1060,3,0
"athish shelter, voc parthiban street","west balaji nagar, ambattur",72.89,1215,3,0
on request,padur,120,1566,3,0
sai nandlal,kovilambakkam,83,1374,3,0
on request,"padhuvancherry, madambakkam",35,702,2,0
"athish cloud, kalikuppam","balaji nagar, ambattur",85.47,1316,3,0
scc homes,valasaravakkam,400,2320,4,0
s a flats,east tambaram,82.88,1105,2,0
scc homes,urapakkam,80.05,1501,3,0
scc homes,urapakkam,64.02,1042,2,0
"mappedu, selaiyur, chennai south","mappedu, selaiyur",119,1163,3,0
viji residency,"rose nagar, kovilambakkam",98.79,1218,3,0
thirupuzal flats,"shanmuga nagar, madanandapuram",82,1025,2,0
"kovur, chennai, chennai south",kovur,75,600,2,0
alankar horizon,madambakkam,86,1280,2,0
on request,chromepet,96.01,910,2,0
"guduvancheri, chennai, chennai south",guduvancheri,94.9,960,3,0
purva somerset house,"dy,  south",295,2500,3,1
navins hanging gardens,valasaravakkam,265,1640,3,1
rainbow chetna,perambur,96,1040,2,0
purva somerset house,"dy,  south",460,3739,4,1
purva somerset house,"dy,  south",410,1968,3,1
jk signature & serene apartments,"alapakkam, porur",102,1183,3,0
urbanrise codename new porur,thirumazhisai,65,849,2,1
spr highliving district,perambur,357,2596,4,0
scc homes,"west tambaram,  south",122,1050,3,0
purva somerset house,"dy,  south",447,3501,4,1
livehomes,kolapakkam,199,2000,3,0
livehomes,perumbakkam,108,1512,3,0
livehomes,perumbakkam,80.2,1274,3,0
scc homes,"kandigai, vandalur kelambakkam road",87,825,3,0
on request,kattupakkam,120,1800,3,0
"guduvancheri, chennai, chennai south",guduvancheri,68.5,800,3,0
alankar horizon,tambaram,108,1560,3,0
babu flats,"maxworth nagar, kovilambakkam",85.93,1051,3,0
on request mandavelipakkam new flat,mandavelipakkam,395,1850,3,0
alankar horizon,medavakkam,108,1600,3,0
apartment in guduvancherry,guduvancheri,70,936,2,0
on request,"saidapet, gst road",327,2333,3,0
hi living evita,madhavaram,75,962,2,0
kg ameya,"saidapet, gst road",371,2470,4,0
purva somerset house,"dy,  south",490,2475,4,1
"seneer kuppam, vgn avenue",thiruverkadu,310,3430,4,0
scc homes,east tambaram,102,1424,3,0
casagrand athens,mogappair,95,1073,2,0
"mukesh keerthi flat,new",poonamallee,66.5,1162,3,0
"mangadu, chennai, chennai west",mangadu,77,620,3,0
"devi nivas, kolapakkam, chandra ouram, chennai",unamancheri,50.74,906,2,0
sai sri flats,rajakilpakkam,56.1,862,2,0
urban tree marvellous,t nagar,390,1654,3,0
vgk unity kingdom,medavakkam,84,982,2,0
"mangadu, chennai, chennai west",mangadu,100,900,3,0
"mangadu, chennai, chennai west",mangadu,100,805,3,0
"mugesh enclave,new flat",iyyappanthangal,59,957,2,0
alankar horizon,"camp road, selaiyur",83,1250,2,0
"red hills, chennai, chennai north",red hills,37.6,800,2,0
"agaram, thiruvanchery","thiruvanchery , selaiyur",119,1163,3,0
alankar vridhi,"agaramthen, vandalur kelambakkam road",119,1163,3,0
scc homes,mudichur,61.12,1075,2,0
vgk unity kingdom,medavakkam,96,1245,3,0
alankar vridhi villa,"camp road, selaiyur",115,1163,4,0
hb new flats,"s kolathur, kovilambakkam",99.28,1360,3,0
vishnu chenthur homes,rajakilpakkam,86.31,1233,3,0
spr highliving district,perambur,126,1166,2,0
purva somerset house,"dy,  south",375,1968,3,1
livehomes,pallavaram,81.45,1255,3,0
"valasaravakkam, chennai, chennai west",valasaravakkam,400,2380,4,0
golden avanue,chromepet,80,1030,2,0
on request,chromepet,78,1009,2,0
"guduvancheri, chennai, chennai south",guduvancheri,82.5,800,3,0
vgk sri sai enclave,"west tambaram,  south",61,962,2,0
"kovur, chennai, chennai south",kovur,99,1200,2,0
ss amaira,thiruvanmiyur,410,2031,3,0
viji enclave,"maxworth nagar, kovilambakkam",74.76,906,2,0
a k s,gopalapuram,159,726,2,0
a k s,gopalapuram,499,2026,3,0
new flat,poonamallee,55.46,905,2,0
kg ameya,"saidapet, gst road",289,1809,3,0
new flat,kattupakkam,81,1131,3,0
lakshmi nivas,madambakkam,77.92,1163,3,0
hi living evita,madhavaram,105,1392,3,0
"lake view apartments, sembakkam",sembakkam,69.98,1186,2,0
javesia apartment,pammal,82.52,1437,3,0
cj flats,old pallavaram,98.5,1473,3,0
hansa one oh one,nungambakkam,350,1606,3,0
navins hanging gardens,valasaravakkam,187,1465,3,1
casa bella apartment ayappakkam,ayappakkam,56.88,875,2,0
"gerugambakkam, chennai, chennai south",gerugambakkam,99,800,3,0
shriram park 63,perungalathur,145,1770,3,1
arumugam,madambakkam,48,600,1,0
vgk unity kingdom,medavakkam,80.91,1245,3,0
urbanrise codename new porur,thirumazhisai,42,633,1,1
navins hillview avenue,thirumudivakkam,44,615,2,1
"red hills, chennai, chennai north",red hills,33,800,2,0
"red hills, chennai, chennai north",red hills,27,600,1,0
urbanrise codename new porur,thirumazhisai,51.22,885,3,1
ozone the metrozone,anna nagar,260,2062,3,0
livehomes,chromepet,102,1205,3,0
no 17,guduvancheri,84.9,1000,4,0
"tambaram, chennai, chennai south",tambaram,119,1163,3,0
brigade xanadu,mogappair,64.5,682,1,1
livehomes,porur,58.75,816,2,0
"guduvancheri, chennai, chennai south",guduvancheri,79,1100,3,0
hi living evita,madhavaram,130,1738,3,0
on requested,anna nagar,235,1330,3,0
navins hanging gardens,valasaravakkam,160,974,2,1
"palavakkam, ecr, chennai south","palavakkam, ecr",299,1100,4,0
rwd corniche,egmore,440,2600,3,0
shriram park 63,perungalathur,100,1385,2,1
sai sri flats,rajakilpakkam,60,911,2,0
kg centre point,poonamallee,48.4,880,2,1
"kovur, chennai, chennai south",kovur,110,1200,2,0
urbanrise codename new porur,thirumazhisai,45,730,2,1
bhaggyam vriddhi,t nagar,341,1841,3,0
scc homes,"virugambakkam, arcot road",111,1025,2,0
new perunagalathur,"new perungalathur, perungalathur",119,1163,3,0
alankar vridhi villa,"mappedu, selaiyur",112,1163,4,0
kaaviya garden partha enclave,kattupakkam,80,967,2,0
alankar horizon,selaiyur,110,1730,3,0
new flat,iyyappanthangal,68,957,2,0
scc homes,guduvancheri,90,900,3,0
vishnu leo villas,"agaramthen, vandalur kelambakkam road",120,1767,3,0
"kovur, chennai, chennai south",kovur,75,750,2,0
shriram park 63,perungalathur,140,1390,3,1
"sai mukesh keerthi,brand new",iyyappanthangal,58.5,954,2,0
on request,kelambakkam,74.79,1496,3,0
scc homes,valasaravakkam,184,1650,3,0
gp homes blazing star,porur,112,1405,3,0
vishnu leo villas,"agaramthen, vandalur kelambakkam road",135,2011,4,0
rainbow chetna,perambur,128,1338,3,0
vishnu leo villa,"mappedu, selaiyur",135,2011,4,0
"mangadu, chennai, chennai west",mangadu,138,800,3,0
navins hillview avenue,thirumudivakkam,44.4,615,2,1
brigade xanadu,mogappair,135,1062,2,1
eldams road nr bank,"eldams road, teynampet",200,1200,2,0
"medavakkam, chennai, chennai south",medavakkam,93,730,3,0
on request,"agaramthen, vandalur kelambakkam road",33.3,665,2,0
"perumbakkam, chennai, chennai south",perumbakkam,96.5,900,3,0
casagrand esquire,perungudi,125,1554,3,0
"guduvancheri, chennai, chennai south",guduvancheri,90,900,3,0
"guduvancheri, chennai, chennai south",guduvancheri,74.49,1122,3,0
sri sai flats,chitlapakkam,83,1155,3,0
padma metha nagar,kundrathur,110,1100,2,0
urbanrise codename new porur,thirumazhisai,49.14,849,2,1
on request,mangadu,52.99,818,2,0
vgk summer garden,"vengaivasal, medavakkam",63.73,1028,2,0
scc homes,nanmangalam,82.93,1245,3,0
hiliving royal evita,madhavaram,100,1392,3,0
cit,"cit nagar west, cit nagar",100,924,2,0
orchid gardens,perungalathur,55.3,1024,2,0
panayur,ganallur,150,2250,3,0
baashyaam crown residences,koyambedu,340,1842,3,0
marg pushkara,"kazhipattur, omr",48,1165,2,0
shriram park 63,perungalathur,150,1970,3,1
casagrand ecr14,ecr,97,1140,2,1
brigade xanadu,mogappair,110,1062,2,1
"guduvancheri, chennai, chennai south",guduvancheri,62.5,850,2,0
"kovur, chennai, chennai south",kovur,140,1670,3,0
hansa one oh one,nungambakkam,352,1772,3,0
spr highliving district,perambur,135,1196,3,0
adore new flat,madipakkam,132,1475,3,0
livehomes,avadi,46.25,844,2,0
jay avanue,kattupakkam,88,1300,3,0
lake vista's,pallikaranai,70,1000,2,0
jains advaya,kovur,79,1279,3,0
sri saiflats,chitlapakkam,82.5,1120,3,0
scc homes,perungalathur,76.8,1100,3,0
sri sai flats,chitlapakkam,84.5,1155,3,0
"kanathur, ecr, chennai south","kanathur, ecr",159,1050,3,0
kaaviya garden partha enclave,kattupakkam,47.5,548,1,0
vishnu leo villas,vengambakkam,120,1767,3,0
urbanrise codename new porur,thirumazhisai,49.14,730,2,0
"puzhal, chennai, chennai north",puzhal,45.65,800,2,0
"surapet, chennai, chennai north",surapet,39,700,2,0
plaza pristine acres phase 1,"nesamani nagar, perumbakkam",60,960,2,0
"surapet, chennai, chennai north",surapet,39.76,800,2,0
"kovur, chennai, chennai south",kovur,92,1320,3,0
livehomes,vanagaram,60.75,937,2,0
friends towers apartment,madambakkam,60,570,2,0
apartment,"thirumalai priya nagar, ambattur",46,820,2,0
livehomes,pallavaram,56,865,2,0
apartment,kolathur,70,999,3,0
p t,"kk nagar, gst road",118,870,2,0
sai sri,rajakilpakkam,38,581,1,0
livehomes,"kodambakkam, gst road",136,973,3,0
livehomes,anna nagar,118,945,2,0
smart home,"ayagapuram, kolathur",68,1070,2,0
shri janani blue bells,padur,30,660,1,0
harini gr enclave,valasaravakkam,132,1428,3,0
"kovur, chennai, chennai south",kovur,75,820,2,0
"gerugambakkam, chennai, chennai south",gerugambakkam,98,800,3,0
narmad,kolathur,85,950,2,0
on request,"agaramthen, vandalur kelambakkam road",35,700,2,0
on request,"padhuvancherry, madambakkam",31.7,634,2,0
"guduvancheri, chennai, chennai south",guduvancheri,68.5,900,2,0
p t,alwarpet,450,1857,3,0
"rainbow homes, lakshmi nagar first st",madipakkam,60,1072,3,0
dac prathyangira,ganallur,135,1485,3,0
selaiyur,"kvk nagar, selaiyur",84.5,1300,3,0
scc homes,perungalathur,45,980,2,0
"kanathur, ecr, chennai south","kanathur, ecr",170,1050,3,0
n/a,nazarathpettai,53.5,871,2,0
shri sai garden,perumbakkam,89,1200,2,0
scc homes,iyyappanthangal,45,761,2,0
kaizen venba,madanandapuram,80,920,2,0
"guduvancheri, chennai, chennai south",guduvancheri,74.25,880,3,0
"chikkarayapuram, chennai, chennai west",chikkarayapuram,65,705,2,0
casagrand pavilion,"thalambur, omr",80,1000,2,1
jayam sri sai avenue annexe,navalur,81.16,1100,2,1
green apple flats,"ags colony, velachery",83,874,2,0
on request,medavakkam,62.5,1027,2,0
shriram park 63,perungalathur,92.65,1225,2,1
shriram park 63,perungalathur,98.01,1385,2,1
vgk unity kingdom,medavakkam,61.55,947,2,0
vgk summer garden,"vengaivasal, medavakkam",83.13,1341,3,0
bollineni zion,omr,65,910,2,0
hi living evita,madhavaram,83,1155,3,0
"panayur, ecr, chennai south","panayur, ecr",299,1200,4,0
tvs emerald peninsula,manapakkam,145,1801,3,0
tvs emerald peninsula,manapakkam,157,1848,3,0
malles ahaana,pallikaranai,76,950,2,0
arun excello urmika,guduvancheri,27,590,2,0
"e residence, anna salai, royapettah",royapettah,175,600,1,0
on request,keelkattalai,130,1125,3,0
"camp road, selaiyur, chennai south","camp road, selaiyur",119,1163,3,0
vinayagaburam,kolathur,43.12,707,2,0
vinayagaburam,kolathur,43.18,708,2,0
vinayagaburam,kolathur,49.9,790,2,0
vinayagaburam,kolathur,43.1,706,2,0
vishnu leo villa,"mappedu, selaiyur",120,1767,3,0
casagrand pavilion,"thalambur, omr",81,1000,2,1
virugambakkam,"venkatesh nagar, arcot road",500,1900,6,0
scc homes,medavakkam,59.63,915,2,0
scc homes,"vadakkupattu, medavakkam",62.45,930,2,0
scc homes,selaiyur,72.33,1082,2,0
kg house of champions,perumbakkam,50,835,2,0
kg house of champions,perumbakkam,50,817,2,0
scc homes,"vadakkupattu, medavakkam",66.68,995,2,0
hno 530,pozhichalur,280,3146,10,0
scc homes,nanmangalam,39.44,576,1,0
olympia opaline,navalur,125,1650,3,1
"parandhama nilayam, chrompet","chandran nagar, chromepet",420,2100,3,0
lake dugar,ambattur,161,1623,3,1
"pozhichalur, lakshmi nagar","viman nagar, pozhichalur",350,5000,12,0
scc homes,medavakkam,80,1525,3,0
rjn flats,"alapakkam, porur",80,1080,2,0
lakshmi avenue,urapakkam,52.5,1051,3,0
ozone greens phase 2,medavakkam,95,1288,2,0
p t,"moovarasanpet, madipakkam",83.62,1248,3,0
"sai mukesh flat,new",iyyappanthangal,69.95,1181,3,0
ruby enclave apartment,"latheef colony, pallavaram",62,800,2,0
grand adore new,madipakkam,111,1344,3,0
revathy anush apartment,pammal,45,760,2,0
xs real catalunya city,siruseri,79.99,1411,3,0
p t,"moovarasanpet, madipakkam",88.66,1364,3,0
"mukesh flat,new",poonamallee,32.8,560,1,0
p t,"moovarasanpet, madipakkam",85,1248,3,0
p t,"moovarasanpet, madipakkam",91,1364,3,0
"royal homes,new flat","anbu nagar, valasaravakkam",98,1205,3,0
"gerugambakkam, chennai, chennai south",gerugambakkam,130,900,3,0
"thalambur, omr, chennai south","thalambur, omr",107,1500,3,0
brigade xanadu,mogappair,60,682,1,1
lakshya,perungudi,86.48,961,2,0
new flats,chitlapakkam,83.5,1250,3,0
seagull,"puzhuthivakkam, madipakkam",127,1418,3,0
scc homes,iyyappanthangal,69,1000,3,0
scc homes,mugalivakkam,72,992,2,0
scc homes,perumanttunallur,75,900,3,0
urban tree trinity garden society,thoraipakkam,60,1050,2,0
scc homes,"virugambakkam, arcot road",120,1123,2,0
"dheena enclave,new",vanagaram,290,1200,5,0
"sai mukesh keerthi,new flat",kattupakkam,69.9,1186,3,0
rl royal homes,"tirumalai nagar, perungudi",99,940,2,0
jayam sri sai garden hill view,perumbakkam,98.5,950,3,0
sri sai resident,perumbakkam,97.6,920,3,0
jayam sri sai garden hill view,perumbakkam,87,900,2,0
"perumbakkam, chennai, chennai south",perumbakkam,97.5,900,3,0
on request,"defence colony, gst road",250,1735,3,0
scc homes,porur,77.84,960,2,0
"perumbakkam, chennai, chennai south",perumbakkam,99,955,3,0
on request,"west tambaram,  south",55,986,2,0
on request,"west tambaram,  south",55,1011,2,0
sri sai garden,perumbakkam,110,1000,3,0
scc homes,"semmancheri, omr",75.21,1162,2,0
scc homes,"vandalur, gst road",49.94,1020,2,0
scc homes,nanmangalam,71.29,1066,2,0
heritage venkateshwara nagar,"karambakkam, porur",265,1789,3,0
"vettuvankeni, ecr, chennai south","vettuvankeni, ecr",260,1350,4,0
"guduvancheri, chennai, chennai south",guduvancheri,140,2128,2,0
masters skandhas,"athan nagar, kottivakkam",140,1350,2,0
dra d elite,ganallur,95,1058,2,0
preethaa karpaga garden,madambakkam,55,890,2,0
vijay shanthi boulevard,"kandigai, vandalur kelambakkam road",140,2380,4,0
thirumullaivoyal,"venkatachalam nagar, thirumullaivoyal",38,822,2,0
narayana flats,avadi,37,700,2,0
tvh ouranya bay,padur,135,2084,3,1
"west tambaram, chennai south","west tambaram,  south",107,870,4,0
shanti enclave,madipakkam,55,947,2,0
vishal gangothri,"kk nagar, gst road",225,1550,3,0
"sri sai nagar, thoraipakkam, chennai south","sri sai nagar, thoraipakkam",101,858,3,0
hno 530,"ayagapuram, kolathur",125,1380,2,0
brindhavan,ambattur,52.9,890,2,0
"thalambur, omr, chennai south","thalambur, omr",76,1200,2,0
adore new flat,madipakkam,81,877,2,0
kv homes,ambattur,57.5,870,2,0
sidharth crown,madhavaram,45,576,1,0
aravind,"banu nagar, ambattur",80,1350,3,0
nakoda enclave,"jawahar nagar, perambur",110,1090,3,0
kv homes,"kallikuppam, ambattur",52,867,2,0
392 lig flats,ganallur,30,583,1,0
spr highliving district,perambur,193,1543,3,0
"athish cloud, kalikuppam","east balaji nagar, ambattur",90.67,1395,3,0
"kovur, chennai, chennai south",kovur,78,800,2,0
"athish shelter, voc parthiban street","east balaji nagar, ambattur",69.59,1160,3,0
kv homes,ambattur,66,970,2,0
"grand adore,brand new",madipakkam,130,1479,3,0
"ashok nagar, west jafferkhanpet, gst road, chennai south","ashok nagar, west jafferkhanpet, gst road",95,1000,3,0
scc homes,thiruvanmiyur,172,1136,2,0
scc homes,"virugambakkam, arcot road",177,1456,3,0
scc homes,velachery,129,1500,3,0
alankar horizon,east tambaram,115,1720,3,0
jayam sri sai garden hill view,perumbakkam,97,1400,3,0
jayam sri sai garden hill view,perumbakkam,96.6,1200,3,0
apartment,"kk nagar, gst road",185,1605,3,0
jk aspire apartment,"kandaswamy nagar extension, poonamallee",75.72,1165,3,0
"mukesh keerthi homes ,new",kattupakkam,59.35,957,2,0
sri sai flats,chitlapakkam,83.11,1120,3,0
"adore new,flat",madipakkam,144,1471,3,0
brigade xanadu,mogappair,117,1291,2,1
brics,"kallikuppam, ambattur",70,1220,3,0
sri sai resident,perumbakkam,99,1000,4,0
scc homes,adambakkam,134,1253,3,0
ramaniyam ocean dew,pallikaranai,140,1420,3,0
"royal garden, banu nagar, 3rd main road","banu nagar, ambattur",85.74,1225,3,0
"west mambalam, chennai, chennai central",west mambalam,450,2153,3,0
livehomes,kodungaiyur,56.4,776,2,0
"iyyappanthangal, chennai, chennai west",iyyappanthangal,87,1280,3,0
mylapore nr rosary road,mylapore,58,740,2,0
apartment,ambattur,40,820,2,0
livehomes,velachery,77,877,2,0
dabc habitat row houses,ponmar,55,600,2,0
kv homes,"kallikuppam, ambattur",50,743,2,0
"urapakkam, chennai, chennai south",urapakkam,58,1200,2,0
"avadi, chennai, chennai north",avadi,33,800,2,0
"avadi, chennai, chennai north",avadi,27,600,1,0
mr mahalakshmi nagar,guduvancheri,39.9,925,2,0
godrej azure,padur,79,1050,2,0
